sample	treatment
BE39max_35dpi_114200_id2_S7	BE39max
BE39max_35dpi_114202_id2_S9	BE39max
BE39max_35dpi_114202_id4_S10	BE39max
BE39max_35dpi_114203_id2_S11	BE39max
BE39max_35dpi_114203_id3_S12	BE39max
NT_35dpi_112448_id3_S2	untreated
NT_35dpi_112453_id3_S1	untreated
NT_35dpi_114199_id2_S3	untreated
NT_35dpi_114205_id1_S4	untreated
NT_35dpi_114205_id4_S5	untreated
NT_35dpi_114206_id1_S6	untreated
TadCBEd_35dpi_112448_id2_S14	TadCBEd
TadCBEd_35dpi_112451_id1_S15	TadCBEd
TadCBEd_35dpi_112451_id2_S16	TadCBEd
TadCBEd_35dpi_112453_id1_S17	TadCBEd
TadCBEd_35dpi_112453_id2_S18	TadCBEd
